name,latitude,longitude
Orange Police Dept- Shellbourn Falls,42.5779034,-72.2872962
Sp Shelburne Falls,42.5955821,-72.7281589
Northboro Police Dept,42.3257519,-71.6270204
Douglas Police Dept,42.0684609,-71.7114779
Salem Police Department,42.5157421,-70.8966075
Dover Police Dept,42.2436098,-71.2799961
Oak Bluffs Police Dept,41.4575842,-70.5565489
Groveland Police Department,42.7678374,-71.0245054
Norton Police Dept,41.9717682,-71.1787441
Deerfield Police Department,42.4792011,-72.6081267
Lenox Police Department,42.3563655,-73.2848032
Brimfield Town Police Dept,42.1217275,-72.203866
Sp Norwell,42.1614859,-70.7949233
Upton Police Dept,42.1748757,-71.6058794
Adams Police Department,42.6227804,-73.1194277
Pelham Police Department,42.3782657,-72.469085
Buzzards Baypolice Dept,41.7477132,-70.6090927
Oxford Police Dept,42.1324207,-71.8643141
Hampshire County Sheriff,42.3075004,-72.6582912
Northbridge Police Dept,42.1288074,-71.645982
Concord Police Dept,42.4564957,-71.34396
Sherborn Police Department,42.2391774,-71.3707132
Milford Police Dept,42.138714,-71.5208937
Huntington Police Department,42.234247,-72.8796048
East Bridgewater Police Dept,42.0290655,-70.9556443
Lincoln Police Department,42.4132275,-71.329334
Attleboro Police Department,41.9433945,-71.2810813
Suffolk County Sheriff,42.3343584,-71.0676647
Charlemont Police Dept,42.6268549,-72.8715043
North Brookfield Police Dept,42.2689935,-72.0827899
Westminster Police Station,42.5440413,-71.9121361
Easthampton Police Department,42.2655257,-72.6705927
Hatfield Police Dept,42.372637,-72.5971119
Easton Police,42.056328,-71.1084349
Harvard University Police,42.3787447,-71.123779
Pembroke Police Dept,42.0720309,-70.8086069
New Bedford Police Facility,41.616288,-70.9210885
West Brookfield Police Dept,42.2351684,-72.1423671
Tyringham Police Department,42.2462666,-73.2045392
Sp Foxboro,42.0750219,-71.2856857
Dartmouth Police Dept,41.6018396,-70.9618681
Millville Police Department,42.0271797,-71.5817573
Fitchburg Police Station,42.5844083,-71.7990168
Georgetown Police Department,42.7219603,-70.9935807
Chicopee Police Dept,42.1562511,-72.5847295
Andover Police Department,42.6577325,-71.1430015
Sturbridge Police Dept,42.1115782,-72.0843057
State Police Andover,42.6090803,-71.1185556
Falmouth Police Dept,41.5542654,-70.6033548
State Police Belchertown,42.2799863,-72.3480536
Blackstone Police Dept,42.0174393,-71.5330592
Sudbury Police Department,42.3607183,-71.4205044
Sunderland Police Station- Shelburne F,42.4527229,-72.5848196
South Hadley Police Dept,42.2155916,-72.59379
Phillipston Police Dept,42.5481555,-72.132289
Topsfield Police Department,42.6303353,-70.945674
Berkley Police Department,41.8460419,-71.0829823
Billerica Police Department,42.562252,-71.272021
Lawrence Police Department,42.7081609,-71.1651798
State Police Westfield,42.1438933,-72.7245221
Blandford Police Dept,42.1806575,-72.925575
Buckland Police Department,42.5995708,-72.735941
Wayland Police Department,42.3634992,-71.3593907
Fairhaven Police Dept,41.6400503,-70.8926109
Colrain Police Station,42.6738767,-72.7069826
Plympton Police Department,41.9571233,-70.8168171
Massachusetts State Police Station E-1 (SP Weston),42.3338437,-71.3191675
Agawam Police Department,42.0780742,-72.6515766
Sandwich Police Dept,41.7619577,-70.4957816
Clarksburg Police Department,42.7120054,-73.0845113
West Newbury Police Department,42.8010453,-70.9877793
Sp Grafton,42.2115291,-71.6878691
Needham Police Dept,42.2783647,-71.2366107
Leicester Police Dept,42.2443974,-71.9015456
Wilmington Police Department,42.5503731,-71.1710016
Nahant Police Dept,42.4276118,-70.926141
West Springfield Police Dept,42.1058356,-72.6236469
Barre Police Department,42.4232788,-72.1089489
Erving Police Departmentt,42.5904669,-72.4896692
Cheshire Fire Department,42.5611193,-73.1657778
Topsfield Fire Department,42.6401368,-70.9480154
East Longmeadow Fire Dept,42.0598606,-72.5048042
Avon Fire Department,42.1326454,-71.0395426
Worcester Fire Department,42.2510473,-71.7929041
